No,CommentNo,Char,Comment,RubyComment
1,CHAP1-1,ハルト,だ～！また{負|ま}けた～！！,
2,CHAP1-2,ハルト,このパズルゲーム{人気|にんき}だからやってたけど{最近|さいきん}{勝|か}てないな…,
3,CHAP1-3,ハルト,う～イライラする！もう{少|すこ}しやろう！,
4,CHAP1-4,ハルト,な、なんだ！？{急|きゅう}にスマホに{引っ張|ひっぱ}られて…！？,
5,CHAP1-5,ハルト,...,
6,CHAP1-6,ハルト,ここは…？,
7,CHAP1-7,ハルト,{今|いま}やってたゲームの{世界|せかい}にそっくりだ…,
8,CHAP1-8,ハルト,ん？なにかが{近|ちか}づいてくる…？,
9,CHAP1-9,イライラネズミ,キーキッキ！おいらは「イライラネズミ」！,
10,CHAP1-10,イライラネズミ,お{前|まえ}がゲームの{中|なか}に{吸|す}い{込|こ}まれたのはおいらたちのせいなのさ！,
11,CHAP1-11,ハルト,なんだこいつ…？ゲームの{中|なか}のキャラクターと{似|に}てるけど{違|ちが}う…,
12,CHAP1-12,イライラネズミ,おいらたちはおまえの「ずっとゲームをしたい」っていう{気持|きも}ちとゲームのキャラが{合体|がったい}した{姿|すがた}なのだ！,
13,CHAP1-13,イライラネズミ,おやぶんにお{前|まえ}を{捕|つか}まえろって{言|い}われたんだ！{大人|おとな}しく{捕|つか}まれ～！,
14,CHAP1-14,ハルト,うわっ！{危|あぶ}ない！{逃|にげ}げなきゃ！,
15,CHAP1-15,ハルト,…あ、あれ？{攻撃|こうげき}がこない…？,
16,CHAP1-16,イライラネズミ,なにしてんだ！お{前|まえ}のターンだぞ！,
17,CHAP1-17,ハルト,そうか！こいつはゲームのキャラだからゲームのルールで{攻撃|こうげき}してくるんだ！,
18,CHAP1-18,ハルト,あ！スマホがゲーム{画面|がめん}になってる！これを{使|つか}って{倒|たお}せるかもしれない！,
19,CHAP2-1,イライラネズミ,キ～～～～！,
20,CHAP2-2,イライラネズミ,お、おやぶ～ん！,
21,CHAP2-3,ハルト,あ、こら！{逃|に}げるな～！,
22,CHAP2-4,ハルト,…ん？なんかでかいのがいるな… ,
23,CHAP2-5,???,な～にやってるんだばかもんが～！
24,CHAP2-6,イライラネズミ,キ～～～～！すみませんおやぶ～ん！,
25,CHAP2-7,ハルト,あいつがおやぶんか！,
26,CHAP2-8,ハルト,ことはあいつを{倒|たお}せば{元|もと}の{世界|せかい}に{帰|かえ}れるのか！？,
27,CHAP2-9,ドロボウキツネ,フォフォフォ！その{通|とお}り！ワシは「ドロボウキツネ」！,
28,CHAP2-10,ドロボウキツネ,ワシたちはお{前|まえ}の「ゲームをもっとやりたい」という{気持|きも}ちで{強|つよ}くなれるのだ！,
29,CHAP2-11,ドロボウキツネ,お{前|まえ}をこのゲームの{世界|せかい}に{閉|と}じ{込|こ}めてもっとゲームをさせてやるぞ～！,
30,CHAP3-1,ドロボウキツネ,グワ～～～～～～！,
31,CHAP3-2,ハルト,よし！なんとか{倒|たお}せたぞ！,
32,CHAP3-3,ハルト,な、なんだ！？{周|まわ}りがまっしろにー,
33,CHAP3-4,ハルト,...,
34,CHAP3-5,ハルト,こ、ここは{俺|おれ}の{部屋|へや}…,
35,CHAP3-6,ハルト,そうか…{戻|もど}ってこられたんだな…,
36,CHAP3-7,母,ハルト～！ごはんよ～ゲームばっかりやっていないでこっちきなさ～い！,
37,CHAP3-8,ハルト,は～い！,
38,CHAP3-9,ハルト,…やっぱりゲームはほどほどがちょうどいいな…！,
